
Host: Griers-MacBook-Pro.local

Timers On : Fri Jun  6 11:04:41 2025
Timers Off: Fri Jun  6 11:32:54 2025

Wall Time:     1693.28 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    132 calls
HF: Form F                          :      0.000u      0.017s      0.005w    132 calls
HF: Form D                          :      0.000u      0.000s      0.000w    132 calls
HF: DIIS                            :      0.167u      0.100s      0.122w    110 calls
HF: Form C                          :      0.033u      0.000s      0.009w    110 calls
ccenergy                            :      0.083u      0.533s      0.379w      4 calls
F build                             :      0.000u      0.000s      0.005w     44 calls
Wmbej build                         :      0.017u      0.000s      0.005w     44 calls
C->Wmbej                            :      0.000u      0.000s      0.000w     44 calls
F->Wmbej                            :      0.017u      0.000s      0.003w     44 calls
E->Wmbej                            :      0.000u      0.000s      0.001w     44 calls
X->Wmbej                            :      0.000u      0.000s      0.001w     44 calls
Z                                   :      0.000u      0.000s      0.000w     44 calls
T2 Build                            :      0.000u      0.017s      0.010w     44 calls
BT2                                 :      0.000u      0.000s      0.003w     44 calls
ABCD:new                            :      0.000u      0.000s      0.002w     44 calls
ABCD:S                              :      0.000u      0.000s      0.000w     44 calls
ABCD:A                              :      0.000u      0.000s      0.000w     44 calls
ABCD:axpy                           :      0.000u      0.000s      0.001w     44 calls
FT2                                 :      0.000u      0.000s      0.001w     44 calls
WmbejT2                             :      0.000u      0.000s      0.002w     44 calls
CT2                                 :      0.000u      0.017s      0.003w     44 calls
CIWave: CIvect write                :      0.000u      0.000s      0.000w     62 calls
CIWave: CIvect read                 :      0.000u      0.000s      0.001w    336 calls
CIWave: s2                          :      0.000u      0.000s      0.000w      8 calls
CIWave: s3                          :      0.000u      0.000s      0.001w      8 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.233u      0.067s      0.081w     22 calls
| Libint2ERI::Libint2ERI            :      0.083u      0.017s      0.034w    286 calls
HF: Form core H                     :      0.017u      0.067s      0.037w     22 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w     22 calls
HF: Guess                           :      0.267u      1.033s      0.309w     22 calls
| SAD Guess                         :      0.267u      1.033s      0.300w     22 calls
HF: Form G                          :      0.017u      0.000s      0.002w    132 calls
| JK: D                             :      0.000u      0.000s      0.000w    132 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w    132 calls
| JK: JK                            :      0.017u      0.000s      0.001w    132 calls
| | PK computes JK                  :      0.000u      0.000s      0.001w    132 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    132 calls
HF: Form F                          :      0.000u      0.017s      0.005w    132 calls
HF: Form D                          :      0.000u      0.000s      0.000w    132 calls
HF: DIIS                            :      0.167u      0.100s      0.122w    110 calls
HF: Form C                          :      0.033u      0.000s      0.009w    110 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.007w     23 calls
ccenergy                            :      0.083u      0.533s      0.379w      4 calls
| F build                           :      0.000u      0.000s      0.005w     44 calls
| Wmbej build                       :      0.017u      0.000s      0.005w     44 calls
| | C->Wmbej                        :      0.000u      0.000s      0.000w     44 calls
| | F->Wmbej                        :      0.017u      0.000s      0.003w     44 calls
| | E->Wmbej                        :      0.000u      0.000s      0.001w     44 calls
| | X->Wmbej                        :      0.000u      0.000s      0.001w     44 calls
| Z                                 :      0.000u      0.000s      0.000w     44 calls
| T2 Build                          :      0.000u      0.017s      0.010w     44 calls
| | BT2                             :      0.000u      0.000s      0.003w     44 calls
| | | ABCD:new                      :      0.000u      0.000s      0.002w     44 calls
| | | | ABCD:S                      :      0.000u      0.000s      0.000w     44 calls
| | | | ABCD:A                      :      0.000u      0.000s      0.000w     44 calls
| | | | ABCD:axpy                   :      0.000u      0.000s      0.001w     44 calls
| | FT2                             :      0.000u      0.000s      0.001w     44 calls
| | WmbejT2                         :      0.000u      0.000s      0.002w     44 calls
| | CT2                             :      0.000u      0.017s      0.003w     44 calls
CIWave: CIvect write                :      0.000u      0.000s      0.000w     62 calls
CIWave: CIvect read                 :      0.000u      0.000s      0.001w    336 calls
CIWave: s2                          :      0.000u      0.000s      0.000w      8 calls
CIWave: s3                          :      0.000u      0.000s      0.001w      8 calls

**************************************************************************************

Host: Griers-MacBook-Pro.local

Timers On : Fri Jun  6 12:14:15 2025
Timers Off: Fri Jun  6 12:17:43 2025

Wall Time:      207.91 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.050u      0.000s      0.014w      4 calls
Libint2ERI::Libint2ERI              :      0.017u      0.000s      0.007w     57 calls
HF: Form core H                     :      0.000u      0.033s      0.007w      4 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      4 calls
HF: Guess                           :      0.033u      0.167s      0.053w      4 calls
SAD Guess                           :      0.033u      0.167s      0.052w      4 calls
HF: Form G                          :      0.000u      0.000s      0.000w     24 calls
JK: D                               :      0.000u      0.000s      0.000w     24 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     24 calls
JK: JK                              :      0.000u      0.000s      0.000w     24 calls
PK computes JK                      :      0.000u      0.000s      0.000w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     24 calls
HF: Form F                          :      0.000u      0.017s      0.001w     24 calls
HF: Form D                          :      0.000u      0.000s      0.000w     24 calls
HF: DIIS                            :      0.017u      0.017s      0.022w     20 calls
HF: Form C                          :      0.000u      0.000s      0.002w     20 calls
CIWave: CIvect write                :      0.000u      0.000s      0.000w     62 calls
CIWave: CIvect read                 :      0.000u      0.000s      0.001w    336 calls
CIWave: s2                          :      0.000u      0.000s      0.000w      8 calls
CIWave: s3                          :      0.017u      0.000s      0.001w      8 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.050u      0.000s      0.014w      4 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.007w     52 calls
HF: Form core H                     :      0.000u      0.033s      0.007w      4 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      4 calls
HF: Guess                           :      0.033u      0.167s      0.053w      4 calls
| SAD Guess                         :      0.033u      0.167s      0.052w      4 calls
HF: Form G                          :      0.000u      0.000s      0.000w     24 calls
| JK: D                             :      0.000u      0.000s      0.000w     24 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     24 calls
| JK: JK                            :      0.000u      0.000s      0.000w     24 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     24 calls
HF: Form F                          :      0.000u      0.017s      0.001w     24 calls
HF: Form D                          :      0.000u      0.000s      0.000w     24 calls
HF: DIIS                            :      0.017u      0.017s      0.022w     20 calls
HF: Form C                          :      0.000u      0.000s      0.002w     20 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.001w      5 calls
CIWave: CIvect write                :      0.000u      0.000s      0.000w     62 calls
CIWave: CIvect read                 :      0.000u      0.000s      0.001w    336 calls
CIWave: s2                          :      0.000u      0.000s      0.000w      8 calls
CIWave: s3                          :      0.017u      0.000s      0.001w      8 calls

**************************************************************************************

Host: Griers-MacBook-Pro.local

Timers On : Fri Jun  6 12:17:48 2025
Timers Off: Fri Jun  6 12:23:20 2025

Wall Time:      332.82 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.050u      0.033s      0.021w      6 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.012w     87 calls
HF: Form core H                     :      0.017u      0.017s      0.011w      6 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      6 calls
HF: Guess                           :      0.083u      0.317s      0.087w      6 calls
SAD Guess                           :      0.067u      0.317s      0.085w      6 calls
HF: Form G                          :      0.017u      0.000s      0.001w     36 calls
JK: D                               :      0.000u      0.000s      0.000w     36 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     36 calls
JK: JK                              :      0.000u      0.000s      0.000w     36 calls
PK computes JK                      :      0.000u      0.000s      0.000w     36 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     36 calls
HF: Form F                          :      0.000u      0.000s      0.001w     36 calls
HF: Form D                          :      0.000u      0.000s      0.000w     36 calls
HF: DIIS                            :      0.017u      0.017s      0.034w     30 calls
HF: Form C                          :      0.000u      0.000s      0.003w     30 calls
CIWave: CIvect write                :      0.000u      0.000s      0.001w    186 calls
CIWave: CIvect read                 :      0.000u      0.000s      0.003w   1008 calls
CIWave: s2                          :      0.000u      0.000s      0.001w     24 calls
CIWave: s3                          :      0.017u      0.000s      0.004w     24 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.050u      0.033s      0.021w      6 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.010w     78 calls
HF: Form core H                     :      0.017u      0.017s      0.011w      6 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      6 calls
HF: Guess                           :      0.083u      0.317s      0.087w      6 calls
| SAD Guess                         :      0.067u      0.317s      0.085w      6 calls
HF: Form G                          :      0.017u      0.000s      0.001w     36 calls
| JK: D                             :      0.000u      0.000s      0.000w     36 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     36 calls
| JK: JK                            :      0.000u      0.000s      0.000w     36 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w     36 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     36 calls
HF: Form F                          :      0.000u      0.000s      0.001w     36 calls
HF: Form D                          :      0.000u      0.000s      0.000w     36 calls
HF: DIIS                            :      0.017u      0.017s      0.034w     30 calls
HF: Form C                          :      0.000u      0.000s      0.003w     30 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.001w      9 calls
CIWave: CIvect write                :      0.000u      0.000s      0.001w    186 calls
CIWave: CIvect read                 :      0.000u      0.000s      0.003w   1008 calls
CIWave: s2                          :      0.000u      0.000s      0.001w     24 calls
CIWave: s3                          :      0.017u      0.000s      0.004w     24 calls

**************************************************************************************

Host: Griers-MacBook-Pro.local

Timers On : Fri Jun  6 12:28:01 2025
Timers Off: Fri Jun  6 12:28:22 2025

Wall Time:       21.03 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: Griers-MacBook-Pro.local

Timers On : Fri Jun  6 12:28:26 2025
Timers Off: Fri Jun  6 12:28:37 2025

Wall Time:       10.36 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: Griers-MacBook-Pro.local

Timers On : Fri Jun  6 12:28:40 2025
Timers Off: Fri Jun  6 12:29:05 2025

Wall Time:       24.51 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: Griers-MacBook-Pro.local

Timers On : Fri Jun  6 12:23:24 2025
Timers Off: Fri Jun  6 12:36:34 2025

Wall Time:      789.78 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.017u      0.000s      0.006w      2 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.004w     29 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
HF: Guess                           :      0.017u      0.083s      0.026w      2 calls
SAD Guess                           :      0.017u      0.083s      0.025w      2 calls
HF: Form G                          :      0.000u      0.000s      0.000w     12 calls
JK: D                               :      0.000u      0.000s      0.000w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :      0.000u      0.000s      0.000w     12 calls
PK computes JK                      :      0.000u      0.000s      0.000w     12 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.000w     12 calls
HF: Form D                          :      0.000u      0.000s      0.000w     12 calls
HF: DIIS                            :      0.000u      0.017s      0.011w     10 calls
HF: Form C                          :      0.000u      0.000s      0.001w     10 calls
CIWave: CIvect write                :      0.000u      0.000s      0.000w     62 calls
CIWave: CIvect read                 :      0.000u      0.000s      0.001w    336 calls
CIWave: s2                          :      0.000u      0.000s      0.000w      8 calls
CIWave: s3                          :      0.000u      0.000s      0.001w      8 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.017u      0.000s      0.006w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.003w     26 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
HF: Guess                           :      0.017u      0.083s      0.026w      2 calls
| SAD Guess                         :      0.017u      0.083s      0.025w      2 calls
HF: Form G                          :      0.000u      0.000s      0.000w     12 calls
| JK: D                             :      0.000u      0.000s      0.000w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :      0.000u      0.000s      0.000w     12 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w     12 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.000w     12 calls
HF: Form D                          :      0.000u      0.000s      0.000w     12 calls
HF: DIIS                            :      0.000u      0.017s      0.011w     10 calls
HF: Form C                          :      0.000u      0.000s      0.001w     10 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.000w      3 calls
CIWave: CIvect write                :      0.000u      0.000s      0.000w     62 calls
CIWave: CIvect read                 :      0.000u      0.000s      0.001w    336 calls
CIWave: s2                          :      0.000u      0.000s      0.000w      8 calls
CIWave: s3                          :      0.000u      0.000s      0.001w      8 calls

**************************************************************************************

Host: Griers-MacBook-Pro.local

Timers On : Fri Jun  6 12:36:38 2025
Timers Off: Fri Jun  6 12:38:20 2025

Wall Time:      101.39 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.017u      0.000s      0.006w      2 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.004w     29 calls
HF: Form core H                     :      0.000u      0.017s      0.003w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
HF: Guess                           :      0.033u      0.100s      0.026w      2 calls
SAD Guess                           :      0.033u      0.100s      0.025w      2 calls
HF: Form G                          :      0.000u      0.000s      0.000w     12 calls
JK: D                               :      0.000u      0.000s      0.000w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :      0.000u      0.000s      0.000w     12 calls
PK computes JK                      :      0.000u      0.000s      0.000w     12 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.000w     12 calls
HF: Form D                          :      0.000u      0.000s      0.000w     12 calls
HF: DIIS                            :      0.017u      0.000s      0.011w     10 calls
HF: Form C                          :      0.000u      0.000s      0.001w     10 calls
CIWave: CIvect write                :      0.000u      0.000s      0.000w     62 calls
CIWave: CIvect read                 :      0.000u      0.000s      0.001w    336 calls
CIWave: s2                          :      0.000u      0.000s      0.000w      8 calls
CIWave: s3                          :      0.000u      0.000s      0.001w      8 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.017u      0.000s      0.006w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.003w     26 calls
HF: Form core H                     :      0.000u      0.017s      0.003w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
HF: Guess                           :      0.033u      0.100s      0.026w      2 calls
| SAD Guess                         :      0.033u      0.100s      0.025w      2 calls
HF: Form G                          :      0.000u      0.000s      0.000w     12 calls
| JK: D                             :      0.000u      0.000s      0.000w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :      0.000u      0.000s      0.000w     12 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w     12 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.000w     12 calls
HF: Form D                          :      0.000u      0.000s      0.000w     12 calls
HF: DIIS                            :      0.017u      0.000s      0.011w     10 calls
HF: Form C                          :      0.000u      0.000s      0.001w     10 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.000w      3 calls
CIWave: CIvect write                :      0.000u      0.000s      0.000w     62 calls
CIWave: CIvect read                 :      0.000u      0.000s      0.001w    336 calls
CIWave: s2                          :      0.000u      0.000s      0.000w      8 calls
CIWave: s3                          :      0.000u      0.000s      0.001w      8 calls

**************************************************************************************

Host: Griers-MacBook-Pro.local

Timers On : Fri Jun  6 12:38:23 2025
Timers Off: Fri Jun  6 12:39:13 2025

Wall Time:       49.48 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.067u      0.017s      0.020w      6 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.010w     84 calls
HF: Form core H                     :      0.017u      0.017s      0.013w      6 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      6 calls
HF: Guess                           :      0.050u      0.300s      0.086w      6 calls
SAD Guess                           :      0.050u      0.283s      0.084w      6 calls
HF: Form G                          :      0.000u      0.000s      0.001w     36 calls
JK: D                               :      0.000u      0.000s      0.000w     36 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     36 calls
JK: JK                              :      0.000u      0.000s      0.000w     36 calls
PK computes JK                      :      0.000u      0.000s      0.000w     36 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     36 calls
HF: Form F                          :      0.000u      0.017s      0.001w     36 calls
HF: Form D                          :      0.000u      0.000s      0.000w     36 calls
HF: DIIS                            :      0.050u      0.017s      0.036w     30 calls
HF: Form C                          :      0.000u      0.000s      0.003w     30 calls
ccenergy                            :      0.050u      0.283s      0.210w      2 calls
F build                             :      0.000u      0.017s      0.002w     22 calls
Wmbej build                         :      0.017u      0.000s      0.003w     22 calls
C->Wmbej                            :      0.000u      0.000s      0.000w     22 calls
F->Wmbej                            :      0.000u      0.000s      0.001w     22 calls
E->Wmbej                            :      0.000u      0.000s      0.000w     22 calls
X->Wmbej                            :      0.017u      0.000s      0.001w     22 calls
Z                                   :      0.000u      0.000s      0.000w     22 calls
T2 Build                            :      0.000u      0.000s      0.005w     22 calls
BT2                                 :      0.000u      0.000s      0.001w     22 calls
ABCD:new                            :      0.000u      0.000s      0.001w     22 calls
ABCD:S                              :      0.000u      0.000s      0.000w     22 calls
ABCD:A                              :      0.000u      0.000s      0.000w     22 calls
ABCD:axpy                           :      0.000u      0.000s      0.000w     22 calls
FT2                                 :      0.000u      0.000s      0.000w     22 calls
WmbejT2                             :      0.000u      0.000s      0.001w     22 calls
CT2                                 :      0.000u      0.000s      0.002w     22 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.067u      0.017s      0.020w      6 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.010w     78 calls
HF: Form core H                     :      0.017u      0.017s      0.013w      6 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      6 calls
HF: Guess                           :      0.050u      0.300s      0.086w      6 calls
| SAD Guess                         :      0.050u      0.283s      0.084w      6 calls
HF: Form G                          :      0.000u      0.000s      0.001w     36 calls
| JK: D                             :      0.000u      0.000s      0.000w     36 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     36 calls
| JK: JK                            :      0.000u      0.000s      0.000w     36 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w     36 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     36 calls
HF: Form F                          :      0.000u      0.017s      0.001w     36 calls
HF: Form D                          :      0.000u      0.000s      0.000w     36 calls
HF: DIIS                            :      0.050u      0.017s      0.036w     30 calls
HF: Form C                          :      0.000u      0.000s      0.003w     30 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.001w      6 calls
ccenergy                            :      0.050u      0.283s      0.210w      2 calls
| F build                           :      0.000u      0.017s      0.002w     22 calls
| Wmbej build                       :      0.017u      0.000s      0.003w     22 calls
| | C->Wmbej                        :      0.000u      0.000s      0.000w     22 calls
| | F->Wmbej                        :      0.000u      0.000s      0.001w     22 calls
| | E->Wmbej                        :      0.000u      0.000s      0.000w     22 calls
| | X->Wmbej                        :      0.017u      0.000s      0.001w     22 calls
| Z                                 :      0.000u      0.000s      0.000w     22 calls
| T2 Build                          :      0.000u      0.000s      0.005w     22 calls
| | BT2                             :      0.000u      0.000s      0.001w     22 calls
| | | ABCD:new                      :      0.000u      0.000s      0.001w     22 calls
| | | | ABCD:S                      :      0.000u      0.000s      0.000w     22 calls
| | | | ABCD:A                      :      0.000u      0.000s      0.000w     22 calls
| | | | ABCD:axpy                   :      0.000u      0.000s      0.000w     22 calls
| | FT2                             :      0.000u      0.000s      0.000w     22 calls
| | WmbejT2                         :      0.000u      0.000s      0.001w     22 calls
| | CT2                             :      0.000u      0.000s      0.002w     22 calls

**************************************************************************************

Host: Griers-MacBook-Pro.local

Timers On : Fri Jun  6 12:39:17 2025
Timers Off: Fri Jun  6 13:02:49 2025

Wall Time:     1412.14 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.150u      0.033s      0.049w     11 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.024w    134 calls
HF: Form core H                     :      0.000u      0.000s      0.015w      9 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      9 calls
HF: Guess                           :      0.083u      0.333s      0.100w      9 calls
SAD Guess                           :      0.067u      0.333s      0.097w      9 calls
HF: Form G                          :      0.000u      0.000s      0.001w     45 calls
JK: D                               :      0.000u      0.000s      0.000w     45 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     45 calls
JK: JK                              :      0.000u      0.000s      0.000w     45 calls
PK computes JK                      :      0.000u      0.000s      0.000w     45 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     45 calls
HF: Form F                          :      0.000u      0.017s      0.002w     45 calls
HF: Form D                          :      0.000u      0.000s      0.000w     45 calls
HF: DIIS                            :      0.050u      0.033s      0.039w     36 calls
HF: Form C                          :      0.000u      0.000s      0.003w     36 calls
ccenergy                            :      0.067u      0.350s      0.258w      3 calls
F build                             :      0.000u      0.000s      0.003w     28 calls
Wmbej build                         :      0.000u      0.000s      0.003w     28 calls
C->Wmbej                            :      0.000u      0.000s      0.000w     28 calls
F->Wmbej                            :      0.000u      0.000s      0.001w     28 calls
E->Wmbej                            :      0.000u      0.000s      0.001w     28 calls
X->Wmbej                            :      0.000u      0.000s      0.001w     28 calls
Z                                   :      0.000u      0.000s      0.000w     28 calls
T2 Build                            :      0.017u      0.017s      0.006w     28 calls
BT2                                 :      0.000u      0.000s      0.001w     28 calls
ABCD:new                            :      0.000u      0.000s      0.001w     28 calls
ABCD:S                              :      0.000u      0.000s      0.000w     28 calls
ABCD:A                              :      0.000u      0.000s      0.000w     28 calls
ABCD:axpy                           :      0.000u      0.000s      0.000w     28 calls
FT2                                 :      0.000u      0.000s      0.000w     28 calls
WmbejT2                             :      0.000u      0.000s      0.001w     28 calls
CT2                                 :      0.000u      0.017s      0.002w     28 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.150u      0.033s      0.049w     11 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.000s      0.023w    125 calls
HF: Form core H                     :      0.000u      0.000s      0.015w      9 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      9 calls
HF: Guess                           :      0.083u      0.333s      0.100w      9 calls
| SAD Guess                         :      0.067u      0.333s      0.097w      9 calls
HF: Form G                          :      0.000u      0.000s      0.001w     45 calls
| JK: D                             :      0.000u      0.000s      0.000w     45 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     45 calls
| JK: JK                            :      0.000u      0.000s      0.000w     45 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w     45 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     45 calls
HF: Form F                          :      0.000u      0.017s      0.002w     45 calls
HF: Form D                          :      0.000u      0.000s      0.000w     45 calls
HF: DIIS                            :      0.050u      0.033s      0.039w     36 calls
HF: Form C                          :      0.000u      0.000s      0.003w     36 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.001w      9 calls
ccenergy                            :      0.067u      0.350s      0.258w      3 calls
| F build                           :      0.000u      0.000s      0.003w     28 calls
| Wmbej build                       :      0.000u      0.000s      0.003w     28 calls
| | C->Wmbej                        :      0.000u      0.000s      0.000w     28 calls
| | F->Wmbej                        :      0.000u      0.000s      0.001w     28 calls
| | E->Wmbej                        :      0.000u      0.000s      0.001w     28 calls
| | X->Wmbej                        :      0.000u      0.000s      0.001w     28 calls
| Z                                 :      0.000u      0.000s      0.000w     28 calls
| T2 Build                          :      0.017u      0.017s      0.006w     28 calls
| | BT2                             :      0.000u      0.000s      0.001w     28 calls
| | | ABCD:new                      :      0.000u      0.000s      0.001w     28 calls
| | | | ABCD:S                      :      0.000u      0.000s      0.000w     28 calls
| | | | ABCD:A                      :      0.000u      0.000s      0.000w     28 calls
| | | | ABCD:axpy                   :      0.000u      0.000s      0.000w     28 calls
| | FT2                             :      0.000u      0.000s      0.000w     28 calls
| | WmbejT2                         :      0.000u      0.000s      0.001w     28 calls
| | CT2                             :      0.000u      0.017s      0.002w     28 calls

**************************************************************************************

Host: Griers-MacBook-Pro.local

Timers On : Fri Jun  6 13:02:53 2025
Timers Off: Fri Jun  6 13:07:24 2025

Wall Time:      270.75 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.000u      0.000s      0.005w      6 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.001w     48 calls
HF: Form core H                     :      0.000u      0.017s      0.009w      6 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      6 calls
HF: Guess                           :      0.017u      0.083s      0.031w      6 calls
SAD Guess                           :      0.000u      0.083s      0.029w      6 calls
HF: Form G                          :      0.000u      0.000s      0.000w     18 calls
JK: D                               :      0.000u      0.000s      0.000w     18 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     18 calls
JK: JK                              :      0.000u      0.000s      0.000w     18 calls
PK computes JK                      :      0.000u      0.000s      0.000w     18 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     18 calls
HF: Form F                          :      0.000u      0.000s      0.001w     18 calls
HF: Form D                          :      0.000u      0.000s      0.000w     18 calls
HF: DIIS                            :      0.050u      0.000s      0.012w     12 calls
HF: Form C                          :      0.000u      0.000s      0.001w     12 calls
ccenergy                            :      0.033u      0.167s      0.112w      2 calls
F build                             :      0.000u      0.000s      0.001w     12 calls
Wmbej build                         :      0.000u      0.000s      0.001w     12 calls
C->Wmbej                            :      0.000u      0.000s      0.000w     12 calls
F->Wmbej                            :      0.000u      0.000s      0.000w     12 calls
E->Wmbej                            :      0.000u      0.000s      0.000w     12 calls
X->Wmbej                            :      0.000u      0.000s      0.000w     12 calls
Z                                   :      0.000u      0.000s      0.000w     12 calls
T2 Build                            :      0.000u      0.000s      0.002w     12 calls
BT2                                 :      0.000u      0.000s      0.000w     12 calls
ABCD:new                            :      0.000u      0.000s      0.000w     12 calls
ABCD:S                              :      0.000u      0.000s      0.000w     12 calls
ABCD:A                              :      0.000u      0.000s      0.000w     12 calls
ABCD:axpy                           :      0.000u      0.000s      0.000w     12 calls
FT2                                 :      0.000u      0.000s      0.000w     12 calls
WmbejT2                             :      0.000u      0.000s      0.000w     12 calls
CT2                                 :      0.000u      0.000s      0.001w     12 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.000u      0.000s      0.005w      6 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w     42 calls
HF: Form core H                     :      0.000u      0.017s      0.009w      6 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      6 calls
HF: Guess                           :      0.017u      0.083s      0.031w      6 calls
| SAD Guess                         :      0.000u      0.083s      0.029w      6 calls
